#Abstract,Abstract Title,Date,Time,Location,URL,Authors,Author's Affiliations,Abstract Text,Category,Sub-Category,Session Title
P2-275,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28456,"Shahul Hameed, MRCP, FRCP","<sup>1,2</sup>",Clinical Characteristics of Pathologicaly Confirmed Early Onset Dementia with Lewy Bodies,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-276,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28496,"Caroline Komatsu, MS",", UNIRIO - ESCOLA DE MEDICINA E CIRURGIA, RIO DE JANEIRO, Brazil and Ricardo S. Komatsu, MD, MSc, PhD, FAMEMA - Marilia Medical School, Marilia, Brazil",Alzheimer's Disease: Vitamin D Deficiency Is Associated with Lower Mini-Mental State Exam (MMSE) Scores When Compared to Vitamin D Normal Range,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-277,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28546,"Seong-il Oh, MD","<sup>1,2</sup>",Rapid Progressive Dementia in Hdls with a Novel CSF1R Mutation,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-279,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29235,"Sheng-Lun Kao, MD","<sup>1,2</sup>",Diagnostic Diversity and Three-Year Mortality Risk in a Memory Clinic,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-280,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29236,"Vincent C.T. Mok, FRCP",", The Chinese University of Hong Kong, NT, Hong Kong",Early-Onset Dementia in Chinese,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-281,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29273,"Sarah A Gaussoin, MS",<sup>1</sup>,Dementia Outcomes after Addition of Proxy-Based Assessments for Deceased or Proxy-Dependent Participants,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-282,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29552,"Carina Wattmo, RN, BSc, PhD","<sup>1,2</sup>",Prognostic Regression Models of Life Expectancy after Diagnosis of Alzheimer’s Disease—a 20-Year Follow-up,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-283,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29553,"Yang Lü, PhD, MD",", The First Affiliated Hospital of Chongqing Medical University, Chongqing, China","Current Status, Diagnosis and Treatment of Patients in a Memory Clinic in Chongqing, Southwestern China: An Eight-Year Practice",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-284,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29576,"Jun Hong Lee, MD",", National Health Insurance Service Ilsan Hospital, Goyang-si, Korea, Republic of (South)",Association of Alzheimer's Disease with the Risk of Developing Epilepsy: A 10-Year Nationwide Cohort Study,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-285,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30105,"Anil Nair, MD",", Alzheimer Disease Center, Quincy, MA, USA",Correlating Family History to Age of Diagnosis of Dementia in a Memory Clinic,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-286,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30288,"Federica Cacciamani, Msc",", ARAMIS Lab, Brain & Spine Institute (ICM), Pitié-Salpêtrière Hospital, Paris, France and Stéphane Epelbaum, MD, PhD, Sorbonne Universités, Université Pierre et Marie Curie (UPMC) Paris 06, Inserm, CNRS, Institut du cerveau et de la moelle epinière (ICM), Département de Neurologie, Institut de la Mémoire et de la Maladie d’Alzheimer (IM2A), Hôpital Pitié-Salpêtrière, Paris, France",Unawareness of Cognitive Impairment in Alzheimer’s Disease: A Review of the Current State of Art,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-287,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30501,"Min seok Baek, MD",<sup>1</sup>,Insomnia Increases the Risk of Alzheimer’s Disease and Vascular Dementia: A Nationwide Population-Based Study in South Korea,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-288,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30541,"Elizabeth B Joe, MD","; Helena C Chui, MD; Danielle Feigenbaum, M.D.; Lilyana Amezcua, M.D.; Mark Lew, M.D. and John M Ringman, MD, Keck School of Medicine at University of Southern California, Los Angeles, CA, USA",Two Novel Mutations in CSF1R Causing Hereditary Diffuse Leukoencephalopathy with Axonal Spheroids (HDLS),Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-289,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30764,"Latha Velayudhan, MD","<sup>1,2</sup>",Predictors of Decline in Early Onset Alzheimer’s Dementia: A Retrospective Cohort Study,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-290,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30965,"Dong Won Yang, MD, PhD",<sup>1</sup>,Comparison of Self and Informant Evaluated Korean Dementia Screening Questionnaire Cognition (KDSQ-C) for the Diagnosis of Mild Cognitive Impairment and Dementia,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-291,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31067,"Santiago O´Neill, MD",<sup>1</sup>,Head Turn Sign. Highly Simply and Specific for Dementia Diagnosis,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-292,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31074,"Gorana Mandic Stojmenovic, MD",<sup>1</sup>,The Pattern of Inheritance in Early Onset Alzheimer’s Disease and Frontotemporal Dementia,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-293,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31098,"Shenikqua Bouges, MD","<sup>1,2</sup>",An Investigation of Various Cardiovascular Risk Factors and Their Effects on Intra-Individual Cognitive  Variability.,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-294,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31103,Alana Stephens DO,"; Mariet Allen, PhD; Merve Atik; Sarah J. Lincoln, BSc; Kimberly G. Malphrus, BS; Thuy Nguyen, BS; Morgane M. Corda; Olivia J. Conway; Neill R. Graff-Radford, MD; Dennis W. Dickson, MD and Nilufer Ertekin-Taner, MD, PhD, Mayo Clinic, Jacksonville, FL, USA",Retrospective Review of Clinical Features of ABCA7 Loss-of-Function Mutation Carriers in Late-Onset Alzheimer's Disease,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-295,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31135,"Po-Ya Cheng, MS",<sup>1</sup>,Fluctuating Cognition in Non Lewy Body Dementia and Its Clinical Implication,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-296,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31403,"Valentin Bragin, M.D.","; Nicole Lashiker, M.S.; David Kalancha; Tanya Silenko and Sally Nozadze, Stress Relief and Memory Training Center, Brooklyn, NY, USA",Decision Making Time in Patients with Mild Cognitive Impairment and Dementia Assessed with Simple Reaction Time and Go/No-Go Task,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-297,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31426,"Jonathan Vöglein, MD","<sup>1,2</sup>",Epilepsy in Alzheimer Disease Is Frequent and Characterized By High Recurrence,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-298,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31524,Yeonsil Moon,<sup>1</sup>,Predictors of Poor Clinical Outcome and Role of Muscle Profile in Alzheimer's Disease: A 3-Years Longitudinal Study,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-299,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31607,"Kazushi Suzuki, MD, PhD",<sup>1</sup>,Effect of Apolipoprotein E ε4 Allele on Progression Rate of Cognitive Decline in Prodromal and Mild Alzheimer's Disease.,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-300,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31630,"Qiumin Qu, PhD, MD"," and Meilin She, The First Affiliated Hospital of Xi’an Jiaotong University, Xi’an, China","The Blood Pressure Level Is Associated with Plasma Amyloid-β Levels：a Cross-Sectional Study in the Suburbs of Xi'an, China",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-301,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31837,"Chen Ling Koh, Undergraduate BSocSci (Hons)",", National Neuroscience Institute/ SingHealth, Singapore, Singapore",Differences in Cognitive Profile between Biomarker Confirmed Alzheimer’s Disease and Vascular Dementia,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-302,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31962,"Cheng-Yu Wei, MD, MS",", Chang Bing Show Chwan Memorial Hospital, Changhua, Taiwan and Pai-Yi Chiu, MD, PhD, Show Chwan Memorial Hospital, Changhua, Taiwan",REM Sleep Behavior Disorder in Alzheimer’s Disease: Prevalence and Association Factors,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-303,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=32163,"Murat Gultekin, MD",", Erciyes University School Of Medicine, Department of Neurology, Kayseri, Turkey",Frontotemporal Dementia As a Mimic of Psychosis: Case Report,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-304,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=32431,"John E. Schneider, PhD"," and Jacie Cooper, Avalon Health Economics, Morristown, NJ, USA",An Economic Evaluation of a Novel Computerized Cognitive Test in Dementia,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-305,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=32530,"Azamatjon Umarov, MSc","; Dilshod Tolibov, PhD and Gulnora Rakhimbaeva, MD, PhD, Tashkent Medical Academy, Tashkent, Uzbekistan",Higher Cortical Functions Evaluation Study in Patients with Alzheimer's Disease in Uzbekistan.,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-306,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=32622,"Raul Alejandro Basante Avendaño Sr., MD",", Instituto Nacional de Neurología y Neurocirugía, Mexico, Mexico","Association of Performance in Tasks of Executive Function and Theory of Mind, with Tasks of Practical Judgment in Healthy Older Adults, with Mild Cognitive Impairment, Alzheimer's Disease and Behavioral Variant of Frontotemporal Dementia",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-307,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=32722,"Janice M Ranson, MSc",<sup>1</sup>,Decode Dementia: Initial Development and External Validation of Clinical Prediction Models for Dementia Identification,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-308,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=32757,"Hee Kyung Park, MD, PhD",<sup>1</sup>,Clinical Characteristics of Early-Onset Alzheimer’s Disease: A Clinical Research Center for Dementia of South Korea (CREDOS) Study,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-310,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33185,"Adeline Rollin, MD",", CHU Lille, Lille, France",Specificities of Early Onset Alzheimer’s Disease,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-311,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33263,"Ruby Castilla-Puentes, MD, DrPH, MBA",", University of Cincinnati Academic Health Center, Cincinnati, OH, USA",Dementia and the Risk of New Onset Seizures: A Cohort Study of a National US Managed Care Database,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-312,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33408,"Gihwan Byeon, MD",<sup>1</sup>,Validation of the Korean Version of the Anosognosia Questionnaire for Dementia,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-313,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33495,"Marija D Semnic, MD PhD",", Faculty of Medicine  University of Novi Sad, Novi Sad, Serbia; Robert R Semnic, MD PhD, Neuroradiology department, Academical hospital, University of Uppsala, Uppsala, Sweden, Uppsala, Sweden and Dusko B Kozic, MDPhD, Faculty of Medicine University of Novi Sad, Novi Sad, Serbia",Dysexecutive Syndrome in Multi- Infarct Versus Subcortical Ischaemic Small Vessel Disease Dementia,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-314,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33860,"Leah K Forsberg, PhD",<sup>1</sup>,The Multidomain Impairment Rating (MIR) Scale: Initial Reliability DATA on a Multidimensional Scale Designed for Ftld Spectrum Disorders,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
P2-315,[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)," Mon, Jul 15 (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33920,"Tatyana Mollayeva, MD, PhD",", Toronto Rehabilitation Institute, Toronto, ON, Canada; Mack Hurst, MSc, Toronto Rehabilitation Institute-University Health Network, Toronto, ON, Canada; Michael Escobar, PhD, Dalla Lana School of Public Health University of Toronto, Toronto, ON, Canada and Angela Colantonio, PhD, OT. Reg. (Ont.), Rehabilitation Sciences Institute University of Toronto, Toronto, ON, Canada",Sleep Disorder Increases the Risk of Incident Dementia and Alzheimer’s Disease in Persons with Central Nervous System Trauma: A Retrospective Cohort Study.,Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),
